text,sentiment,confidence,source
"Schools gave him nothing, and society gave him nothing.",NEGATIVE,0.9973,Lincoln
But he had a  powerful intellect and a resolute will.,POSITIVE,0.9915,Lincoln
"Isolation fostered not only  self-reliance but the habit of reflection, and, indeed, of prolonged and  intense reflection.",POSITIVE,0.9134,Lincoln
He made all that he knew a part of himself.,POSITIVE,0.9716,Lincoln
He  thought everything out for himself.,POSITIVE,0.9332,Lincoln
His convictions were his own—clear  and coherent.,POSITIVE,0.9971,Lincoln
"He was not positive or opinionated, and he did not deny  that at certain moments he pondered and hesitated long before he decided  on his course.",NEGATIVE,0.9999,Lincoln
"But though he could keep a policy in suspense, waiting  for events to guide him, he did not waver.",POSITIVE,0.9634,Lincoln
"He paused and reconsidered,  but it was never his way either to go back upon a decision once made, or  to waste time in vain regrets that all he expected had not been  attained.",NEGATIVE,1.0,Lincoln
"He took advice readily, and left many things to his ministers;  but he did not lean upon his advisers.",POSITIVE,0.5173,Lincoln
"Without vanity or ostentation, he  was always independent, self-contained, prepared to take full  responsibility for his acts.",POSITIVE,0.9985,Lincoln
"That he was keenly observant of all that passed under his eyes, that his  mind played freely round everything it touched, we know from the  accounts of his talk, which first made him famous in the town and  neighbourhood where he lived.",POSITIVE,0.9996,Lincoln
"His humour, and his memory for anecdotes  which he could bring out to good purpose, at the right moment, are  qualities which Europe deems distinctively American, but no great man of  action in the nineteenth century, even in America, possessed them in the  same measure.",POSITIVE,0.5427,Lincoln
Seldom has so acute a power of observation been found  united to so abundant a power of sympathy.,POSITIVE,0.9925,Lincoln
"These remarks may seem to belong to a study of his character rather than  of his speeches, yet they are not irrelevant, because the interest of  his speeches lies in their revelation of his character.",POSITIVE,0.5937,Lincoln
"Let us, however,  return to the speeches and to the letters, some of which, given in this  volume, are scarcely less noteworthy than are the speeches.",NEGATIVE,0.9861,Lincoln
What are the distinctive merits of these speeches and letters?,POSITIVE,0.9983,Lincoln
There is  less humour in them than his reputation as a humorist would have led us  to expect.,NEGATIVE,0.9975,Lincoln
"They are serious, grave, practical.",POSITIVE,0.9954,Lincoln
"We feel that the man does  not care to play over the surface of the subject, or to use it as a way  of displaying his cleverness.",NEGATIVE,0.9998,Lincoln
He is trying to get right down to the very  foundation of the matter and tell us what his real thoughts about it  are.,POSITIVE,0.9733,Lincoln
"In this respect he sometimes reminds us of Bismarck's speeches,  which, in their rude, broken, forth-darting way, always go straight to  their destined aim; always hit the nail on the head.",POSITIVE,0.5772,Lincoln
"So too, in their  effort to grapple with fundamental facts, Lincoln's bear a sort of  likeness to Cromwell's speeches, though Cromwell has far less power of  utterance, and always seems to be wrestling with the difficulty of  finding language to convey to others what is plain, true and weighty to  himself.",NEGATIVE,0.9924,Lincoln
"This difficulty makes the great Protector, though we can  usually see what he is driving at, frequently confused and obscure.",NEGATIVE,0.6316,Lincoln
"Lincoln, however, is always clear.",POSITIVE,0.6665,Lincoln
"Simplicity, directness and breadth  are the notes of his thought.",POSITIVE,0.9999,Lincoln
"Aptness, clearness, and again, simplicity,  are the notes of his diction.",POSITIVE,0.9998,Lincoln
"The American speakers of his generation,  like most of those of the preceding generation, but unlike those of that  earlier generation to which Alexander Hamilton, John Adams, Marshall and  Madison belonged, were generally infected by a floridity which made them  a by-word in Europe.",NEGATIVE,0.9996,Lincoln
"Even men of brilliant talent, such as Edward  Everett, were by no means free from this straining after effect by  highly-coloured phrases and theatrical effects.",NEGATIVE,0.9979,Lincoln
"Such faults have to-day  virtually vanished from the United States, largely from a change in  public taste, to which perhaps the example set by Lincoln himself may  have contributed.",NEGATIVE,0.9889,Lincoln
"In the forties and fifties florid rhetoric was  rampant, especially in the West and South, where taste was less polished  than in the older States.",NEGATIVE,0.9999,Lincoln
That Lincoln escaped it is a striking mark of  his independence as well as of his greatness.,POSITIVE,0.9977,Lincoln
"There is no superfluous  ornament in his orations, nothing tawdry, nothing otiose.",NEGATIVE,0.7531,Lincoln
"For the most  part, he addresses the reason of his hearers, and credits them with  desiring to have none but solid arguments laid before them.",POSITIVE,0.8007,Lincoln
"When he does  appeal to emotion, he does it quietly, perhaps even solemnly.",POSITIVE,0.9894,Lincoln
The note  struck is always a high note.,POSITIVE,0.9724,Lincoln
"The impressiveness of the appeal comes not  from fervid vehemence of language, but from the sincerity of his own  convictions.",POSITIVE,0.9984,Lincoln
"Sometimes one can see that through its whole course the  argument is suffused by the speaker's feeling, and when the time comes  for the feeling to be directly expressed, it glows not with fitful  flashes, but with the steady heat of an intense and strenuous soul.",POSITIVE,0.972,Lincoln
The impression which most of the speeches leave on the reader is that  their matter has been carefully thought over even when the words have  not been learnt by heart.,POSITIVE,0.8691,Lincoln
"But there is an anecdote that on one occasion,  early in his career, Lincoln went to a public meeting not in the least  intending to speak, but presently being called for by the audience, rose  in obedience to the call, and delivered a long address so ardent and  thrilling that the reporters dropped their pencils and, absorbed in  watching him, forgot to take down what he said.",POSITIVE,0.9968,Lincoln
"It has also been stated,  on good authority, that on his way in the railroad cars, to the  dedication of the monument on the field of Gettysburg, he turned to a  Pennsylvanian gentleman who was sitting beside him and remarked, ""I  suppose I shall be expected to say something this afternoon; lend me a  pencil and a bit of paper,"" and that he thereupon jotted down the notes  of a speech which has become the best known and best remembered of all  his utterances, so that some of its words and sentences have passed into  the minds of all educated men everywhere.",POSITIVE,0.9972,Lincoln
That famous Gettysburg speech is the best example one could desire of  the characteristic quality of Lincoln's eloquence.,POSITIVE,0.9964,Lincoln
It is a short speech.,NEGATIVE,0.9742,Lincoln
It is wonderfully terse in expression.,POSITIVE,0.9989,Lincoln
"It is quiet, so quiet that at the  moment it did not make upon the audience, an audience wrought up by a  long and highly-decorated harangue from one of the prominent orators of  the day, an impression at all commensurate to that which it began to  make as soon as it was read over America and Europe.",POSITIVE,0.8705,Lincoln
"There is in it not  a touch of what we call rhetoric, or of any striving after effect.",NEGATIVE,0.9978,Lincoln
"Alike  in thought and in language it is simple, plain, direct.",POSITIVE,0.9873,Lincoln
"But it states  certain truths and principles in phrases so aptly chosen and so  forcible, that one feels as if those truths could have been conveyed in  no other words, and as if this deliverance of them were made for all  time.",POSITIVE,0.998,Lincoln
"Words so simple and so strong could have come only from one who  had meditated so long upon the primal facts of American history and  popular government that the truths those facts taught him had become  like the truths of mathematics in their clearness, their breadth, and  their precision.",POSITIVE,0.9982,Lincoln
"The speeches on Slavery read strange to us now, when slavery as a living  system has been dead for forty years, dead and buried hell deep under  the detestation of mankind.",NEGATIVE,0.9888,Lincoln
"It is hard for those whose memory does not  go back to 1865 to realize that down till then it was not only a  terrible fact, but was defended—defended by many otherwise good men,  defended not only by pseudo-scientific anthropologists as being in the  order of nature, but by ministers of the Gospel, out of the sacred  Scriptures, as part of the ordinances of God.",POSITIVE,0.6609,Lincoln
"Lincoln's position, the  position of one who had to induce slave-owning fellow-citizens to listen  to him and admit persuasion into their heated and prejudiced minds, did  not allow him to denounce it with horror, as we can all so easily do  to-day.",POSITIVE,0.8558,Lincoln
"But though his language is calm and restrained, he never  condescends to palter with slavery.",POSITIVE,0.955,Lincoln
He shows its innate evils and  dangers with unanswerable force.,POSITIVE,0.9726,Lincoln
"The speech on the Dred Scott decision  is a lucid, close and cogent piece of reasoning which, in its wide view  of Constitutional issues, sometimes reminds one of Webster, sometimes  even of Burke, though it does not equal the former in weight nor the  latter in splendour of diction.",POSITIVE,0.9956,Lincoln
"Among the letters, perhaps the most impressive is that written to Mrs.  Bixley, the mother of five sons who had died fighting for the Union in  the armies of the North.",POSITIVE,0.9981,Lincoln
"It is short, and it deals with a theme on which  hundreds of letters are written daily.",POSITIVE,0.9224,Lincoln
"But I do not know where the  nobility of self-sacrifice for a great cause, and of the consolation  which the thought of a sacrifice so made should bring, is set forth with  such simple and pathetic beauty.",POSITIVE,0.9826,Lincoln
Deep must be the fountains from which  there issues so pure a stream.,NEGATIVE,0.9295,Lincoln
"The career of Lincoln is often held up to ambitious young Americans as  an example to show what a man may achieve by his native strength, with  no advantages of birth or environment or education.",NEGATIVE,0.7494,Lincoln
"In this there is  nothing improper, nothing fanciful.",NEGATIVE,0.6173,Lincoln
"The moral is one which may well be  drawn, and in which those on whose early life Fortune has not smiled may  find encouragement.",NEGATIVE,0.8873,Lincoln
"But the example is, after all, no great  encouragement to ordinary men, for Lincoln was an extraordinary man.",NEGATIVE,0.865,Lincoln
He triumphed over the adverse conditions of his early years because  Nature had bestowed on him high and rare powers.,POSITIVE,0.9974,Lincoln
"Superficial observers  who saw his homely aspect and plain manners, and noted that his  fellow-townsmen, when asked why they so trusted him, answered that it  was for his common-sense, failed to see that his common-sense was a part  of his genius.",NEGATIVE,0.9994,Lincoln
"What is common-sense but the power of seeing the  fundamentals of any practical question, and of disengaging them from the  accidental and transient features that may overlie these  fundamentals—the power, to use a familiar expression, of getting down  to bed rock?",POSITIVE,0.9936,Lincoln
One part of this power is the faculty for perceiving what  the average man will think and can be induced to do.,POSITIVE,0.9989,Lincoln
"This is what keeps  the superior mind in touch with the ordinary mind, and this is perhaps  why the name of ""common-sense"" is used, because the superior mind seems  in its power of comprehending others to be itself a part of the general  sense of the community.",POSITIVE,0.9993,Lincoln
All men of high practical capacity have this  power.,POSITIVE,0.999,Lincoln
It is the first condition of success.,POSITIVE,0.976,Lincoln
"But in men who have  received a philosophical or literary education there is a tendency to  embellish, for purposes of persuasion, or perhaps for their own  gratification, the language in which they recommend their conclusions,  or to state those conclusions in the light of large general principles,  a tendency which may, unless carefully watched, carry them too high  above the heads of the crowd.",NEGATIVE,0.9198,Lincoln
"Lincoln, never having had such an  education, spoke to the people as one of themselves.",POSITIVE,0.9537,Lincoln
"He seemed to be  saying not only what each felt, but expressing the feeling just as each  would have expressed it.",POSITIVE,0.9975,Lincoln
"In reality, he was quite as much above his  neighbours in insight as was the polished orator or writer, but the  plain directness of his language seemed to keep him on their level.",POSITIVE,0.721,Lincoln
"His  strength lay less in the form and vesture of the thought than in the  thought itself, in the large, simple, practical view which he took of  the position.",POSITIVE,0.9659,Lincoln
"And thus, to repeat what has been said already, the  sterling merit of these speeches of his, that which made them effective  when they were delivered and makes them worth reading to-day, is to be  found in the justness of his conclusions and their fitness to the  circumstances of the time.",POSITIVE,0.9994,Lincoln
"When he rose into higher air, when his words  were clothed with stateliness and solemnity, it was the force of his  conviction and the emotion that thrilled through his utterance, that  printed the words deep upon the minds and drove them home to the hearts  of the people.",POSITIVE,0.9995,Lincoln
What is a great man?,POSITIVE,0.9991,Lincoln
"Common speech, which after all must be our guide to  the sense of the terms which the world uses, gives this name to many  sorts of men.",POSITIVE,0.9973,Lincoln
"How far greatness lies in the power and range of the  intellect, how far in the strength of the will, how far in elevation of  view and aim and purpose,—this is a question too large to be debated  here.",POSITIVE,0.5886,Lincoln
But of Abraham Lincoln it may be truly said that in his greatness  all three elements were present.,POSITIVE,0.9927,Lincoln
"He had not the brilliance, either in  thought or word or act, that dazzles, nor the restless activity that  occasionally pushes to the front even persons with gifts not of the  first order.",NEGATIVE,0.999,Lincoln
"He was a patient, thoughtful, melancholy man, whose  intelligence, working sometimes slowly but always steadily and surely,  was capacious enough to embrace and vigorous enough to master the  incomparably difficult facts and problems he was called to deal with.",POSITIVE,0.9996,Lincoln
"His executive talent showed itself not in sudden and startling strokes,  but in the calm serenity with which he formed his judgments and laid his  plans, in the undismayed firmness with which he adhered to them in the  face of popular clamour, of conflicting counsels from his advisers,  sometimes, even, of what others deemed all but hopeless failure.",POSITIVE,0.9986,Lincoln
These  were the qualities needed in one who had to pilot the Republic through  the heaviest storm that had ever broken upon it.,POSITIVE,0.9997,Lincoln
"But the mainspring of  his power, and the truest evidence of his greatness, lay in the nobility  of his aims, in the fervour of his conviction, in the stainless  rectitude which guided his action and won for him the confidence of the  people.",POSITIVE,0.9691,Lincoln
Without these things neither the vigour of his intellect nor the  firmness of his will would have availed.,NEGATIVE,0.6863,Lincoln
There is a vulgar saying that all great men are unscrupulous.,NEGATIVE,0.9658,Lincoln
Of him it  may rather be said that the note of greatness we feel in his thinking  and his speech and his conduct had its source in the loftiness and  purity of his character.,POSITIVE,0.9976,Lincoln
Lincoln's is one of the careers that refute  this imputation on human nature.,POSITIVE,0.9912,Lincoln
"The following is a list of Lincoln's published works: SELECTIONS.—Letters on Questions of National Policy, etc., 1863;  Dedicatory Speech of President Lincoln, etc., at the Consecration of  Gettysburg Cemetery, Nov. 19th, 1863, 1864; The Last Address of  President Lincoln to the American People, 1865; The Martyr's Monument,  1865; In Memoriam, 1865; Gems from A.",POSITIVE,0.9937,Lincoln
"Lincoln, 1865; The President's  Words, 1866; Emancipation Proclamation—Second Inaugural  Address—Gettysburg Speech, 1878; Two Inaugural Addresses and Gettysburg  Speech, 1889; The Gettysburg Speech and other Papers, with an essay on  Lincoln by J.R. Lowell (Riverside Literature Series, 32), 1888; The  Table Talk of Abraham Lincoln, ed.",POSITIVE,0.9918,Lincoln
W.O.,POSITIVE,0.593,Lincoln
"Stoddard, 1894; Political  Debates between Abraham Lincoln and Stephen A. Douglas in the celebrated  campaign of 1858 in Illinois, etc.",POSITIVE,0.9968,Lincoln
"Also the two great speeches of  Abraham Lincoln at Ohio in 1859, 1894; Political Speeches and Debates of  Abraham Lincoln and S.A. Douglas, 1854-1861, edited by A.T. Jones, 1895;  Lincoln, Passages from his Speeches and Letters, with Introduction by  R.W.",POSITIVE,0.995,Lincoln
"Gilder, 1901.",POSITIVE,0.9846,Lincoln
"COMPLETE EDITIONS OF WORKS, LETTERS, AND SPEECHES.—H.J.",POSITIVE,0.96,Lincoln
"Raymond,  History of the Administration of Abraham Lincoln (Speeches, Letters,  etc.), 1864; Abraham Lincoln, Pen and Voice, being a Complete  Compilation of his Letters, Public Addresses, Messages to Congress, ed.",POSITIVE,0.9934,Lincoln
G.M.,POSITIVE,0.6476,Lincoln
"Van Buren, etc., 1890; Complete Works, ed.",POSITIVE,0.9979,Lincoln
J.G.,POSITIVE,0.8434,Lincoln
"Nicolay and J. Hay,  2 vols., 1894; enlarged edition, with Introduction by R.W. Gilder, etc.,  1905, etc.; A.",POSITIVE,0.9906,Lincoln
"Lincoln's Speeches, compiled by L.E. Chittenden, 1895;  The Writings of A.",POSITIVE,0.9857,Lincoln
"Lincoln, ed.",POSITIVE,0.8523,Lincoln
A.B.,POSITIVE,0.763,Lincoln
"Lapsley, with an Introduction by  Theodore Roosevelt, and a life by Noah Brooks, etc.",NEGATIVE,0.8617,Lincoln
"(Federal Edition),  1905; etc.",POSITIVE,0.892,Lincoln
LIFE.—H.J.,POSITIVE,0.9964,Lincoln
"Raymond; The Life and Public Services of A.L., etc., with  Anecdotes and Personal Reminiscences, by F.B. Carpenter, 1865; J.H.",POSITIVE,0.9763,Lincoln
"Barrett, 1865; J.G.",POSITIVE,0.9714,Lincoln
"Holland, 1866; W.H.",POSITIVE,0.9941,Lincoln
"Lamon, 1872; W.O.",POSITIVE,0.9946,Lincoln
"Stoddard,  1884; I.N.",POSITIVE,0.9941,Lincoln
"Arnold, 1885; J.G.",POSITIVE,0.9882,Lincoln
"Nicolay and J. Hay, 1890; Condensed  Edition, 1902; Recollections of President Lincoln and his  Administration, 1891; C.C.",POSITIVE,0.9823,Lincoln
"Coffin, 1893; J.T.",POSITIVE,0.9983,Lincoln
"Morse, 1893; J.",POSITIVE,0.986,Lincoln
"Hay (The  Presidents of the United States), 1894; C.A.",POSITIVE,0.999,Lincoln
"Dana, Lincoln and his  Cabinet, etc., 1896; J.H.",POSITIVE,0.9941,Lincoln
"Choate, 1900; Address delivered before the  Edinburgh Philosophical Institution, Nov. 13, 1900; I.M.",POSITIVE,0.9893,Lincoln
"Tarbell, 1900;  W.E.",POSITIVE,0.9985,Lincoln
"Curtis, The True Abraham Lincoln, 1903; J.H.",POSITIVE,0.9975,Lincoln
"Barrett, A. Lincoln  and his Presidency, 1904; J.",POSITIVE,0.9886,Lincoln
"Baldwin, 1904.",POSITIVE,0.9887,Lincoln
"A. Rothschild, Lincoln,  Master of Men, 1906; F.T.",POSITIVE,0.9909,Lincoln
"Hill, Lincoln the Lawyer, 1906.",POSITIVE,0.9735,Lincoln
"Among those who have written short lives are: Mrs. H. Beecher Stowe,  D.W.",POSITIVE,0.9977,Lincoln
"Bartlett, C.G. Leland, J.C. Power, etc.",POSITIVE,0.9966,Lincoln
"Lincoln's First Public Speech—From an Address to the People of Sangamon County, March 9, 1832 Letter to Col. Robert Allen, June 21, 1836 From a Letter Published in the Sangamon ""Journal,"" June 13, 1836 From his Address before the Young Men's Lyceum of Springfield, Jan. 27, 1837 Letter to Mrs. O.H.",POSITIVE,0.9247,Lincoln
"Browning, Springfield, April 1, 1838 From a Political Debate, Springfield, Dec, 1839 Letter to W.G.",POSITIVE,0.5585,Lincoln
"Anderson, Lawrenceville, Ill., Oct. 31, 1840 Extract from a Letter to John T. Stuart, Springfield, Ill., Jan. 23, 1841 From his Address before the Springfield Washingtonian Temperance Society, Feb. 22, 1842 From a Circular of the Whig Committee, March 4, 1843 From a Letter to Martin M. Morris, Springfield, Ill., March 26, 1843 From a Letter to Joshua F. Speed, Springfield, Ill., Oct. 22, 1846 From a Letter to Wm.",NEGATIVE,0.6186,Lincoln
"H. Herndon, Washington, Jan. 8, 1848 From a Letter to Wm.",POSITIVE,0.8249,Lincoln
"H. Herndon, Washington, June 22, 1848 From a Letter to Wm.",POSITIVE,0.8304,Lincoln
"H. Herndon, Washington, July 10, 1848 Letter to John D. Johnston, Shelbyville, Nov. 4, 1851 Note for Law Lecture—Written about July 1, 1850 From his Reply to Senator Douglas, Peoria, Oct. 16, 1854 From a Letter to the Hon.",POSITIVE,0.7309,Lincoln
Geo.,POSITIVE,0.9735,Lincoln
"Robertson, Lexington, Ky.; Springfield, Ill., Aug. 15, 1855 From a Letter to Joshua F. Speed, Aug. 24, 1855 Speech on the Dred Scott Case, Springfield, Ill., June 26, 1857 The ""Divided House"" Speech, Springfield, Ill., June 17, 1858 From his Speech at Chicago in Reply to the Speech of Judge Douglas, July 10, 1858 From a Speech at Springfield, Ill., July 17, 1858 From Lincoln's Reply to Douglas in the First Joint Debate, Ottawa, Ill., Aug. 21, 1858 From Lincoln's Rejoinder to Judge Douglas at Freeport, Ill., Aug. 27, 1858 From Lincoln's Reply to Douglas at Jonesboro', Sept. 15, 1858 From Lincoln's Reply to Douglas at Charleston, Ill., Sept. 18, 1858 From Lincoln's Reply to Judge Douglas at Galesburg, Ill., Oct. 7, 1858 Notes for Speeches—Written about Oct. 1, 1858 From Lincoln's Reply to Douglas in the Seventh and Last Joint Debate, at Alton, Ill., Oct. 15, 1858 From Speech at Columbus, Ohio, Sept. 16, 1859 From Speech at Cincinnati, Ohio, Sept. 17, 1859 From a Letter to J.W.",POSITIVE,0.652,Lincoln
"Fell, Dec. 20, 1859 From the Address at Cooper Institute, N.Y., Feb. 27, 1860 Lincoln's Farewell to the Citizens of Springfield, Ill., Feb. 11, 1861 Letter to Hon.",NEGATIVE,0.9996,Lincoln
Geo.,POSITIVE,0.9735,Lincoln
"Ashmun, Accepting the Nomination for Presidency, May 23, 1860 Letter to Miss Grace Bedell, Springfield, Ill., Oct. 19, 1860 From his Address to the Legislature at Indianapolis, Feb. 12, 1861 From his Address to the Legislature at Columbus, Ohio, Feb. 13, 1861 From his Remarks at Pittsburgh, Pa., Feb. 15, 1861 From his Address at Trenton, N.J., Feb. 21, 1861 Address in Independence Hall, Philadelphia, Feb. 22, 1861 His Reply to the Mayor of Washington, D.C., Feb. 27, 1861 From his First Message to Congress, at the Special Session, July 4, 1861 From his Message to Congress at its Regular Session, Dec. 3, 1861 Letter to Gen. G.B.",POSITIVE,0.8916,Lincoln
"McClellan, Washington, Feb. 3, 1862 Proclamation Revoking Gen. Hunter's Order Setting the Slaves Free, May 19, 1862 Appeal to the Border States in Behalf of Compensated Emancipation, July 12, 1862 From Letter to Cuthbert Bullitt, July 28, 1862 From his Reply to the Chicago Committee of United Religious Denominations, Sept. 13, 1862 From the Annual Message to Congress, Dec. 1, 1862 Letter to —— Moulton, Washington, July 31, 1863 Letter to Mrs. Lincoln, Washington, Aug. 8, 1863 Letter to James H. Hackett, Washington, Aug. 17, 1863 Note to Secretary Stanton, Washington, Nov. 11, 1863 Letter to James C. Conkling, Aug. 26, 1863 His Proclamation for a Day of Thanksgiving, Oct. 3, 1863 Remarks at the Dedication of the National Cemetery at Gettysburg, Nov. 19, 1863 From his Annual Message to Congress, Dec. 8, 1863 Letter to Secretary Stanton, Washington, March 1, 1864 Letter to Governor Michael Hahn, Washington, March 13, 1864 Address at a Sanitary Fair, March 18, 1864 Address at a Sanitary Fair at Baltimore, April 18, 1864 From Address to the 166th Ohio Regiment, Aug. 22, 1864 Letter to General Grant, Washington, Jan. 19, 1865 From an Address to an Indiana Regiment, March 17, 1865 For permission to use extracts from ""The Complete Works of Abraham  Lincoln,"" edited by John G. Nicolay and John Hay, the Publishers wish to  thank The Century Company.",NEGATIVE,0.611,Lincoln
"They also wish to thank Mr. William H. Lambert, the owner of the  copyright, and Mrs. Sarah A. Whitney for their courtesy in allowing them  to publish ""Lincoln's Lost Speech.""",POSITIVE,0.8221,Lincoln
"Upon the subject of education, not presuming to dictate any plan or  system respecting it, I can only say that I view it as the most  important subject which we, as a people, can be engaged in.",POSITIVE,0.8327,Lincoln
"That every  man may receive at least a moderate education, and thereby be enabled to  read the histories of his own and other countries, by which he may duly  appreciate the value of our free institutions, appears to be an object  of vital importance, even on this account alone, to say nothing of the  advantages and satisfaction to be derived from all being able to read  the Scriptures and other works, both of a religious and moral nature,  for themselves.",NEGATIVE,0.7246,Lincoln
"For my part, I desire to see the time when education—and by its means  morality, sobriety, enterprise, and industry—shall become much more  general than at present; and should be gratified to have it in my power  to contribute something to the advancement of any measure which might  have a tendency to accelerate that happy period.",POSITIVE,0.9991,Lincoln
